"OPE_ID","Institution_Name","Institution_City","Institution_State","Institution Type And Control","Total_Awards","Total_Recipients"
"2202700","OZARK CHRISTIAN COLLEGE","JOPLIN","MO","Private 4 Year","1230077","315"
"3083000","OZARKS TECHNICAL COMMUNITY COLLEGE","SPRINGFIELD","MO","Public 2 Year","29625737","9018"
"2543800","PARIS II EDUCATIONAL CENTER (THE)","GLADSTONE","MO","Proprietary 2 Year","319975","85"
"249800","PARK UNIVERSITY","PARKVILLE","MO","Private 4 Year","14059328","4449"
"4170700","PAUL MITCHELL THE SCHOOL ST LOUIS","ST. LOUIS","MO","Proprietary 2 Year","562845","142"
"1173500","PIKE/LINCOLN TECHNICAL CENTER","EOLIA","MO","Public 2 Year","1973","2"
"1040500","PINNACLE CAREER INSTITUTE","KANSAS CITY","MO","Proprietary 2 Year","3751151","1169"
"543000","POPLAR BLUFF TECHNICAL CAREER CNTR","POPLAR BLUFF","MO","Public 2 Year","240955","47"
"3878300","PROFESSIONAL MASSAGE TRAINING CENTER","SPRINGFIELD","MO","Proprietary 2 Year","123029","36"
"1250000","RANKEN TECHNICAL COLLEGE","ST LOUIS","MO","Private 4 Year","4062055","1256"
"639200","RESEARCH COLLEGE OF NURSING","KANSAS CITY","MO","Proprietary 4 Year","165450","36"
"249900","ROCKHURST UNIVERSITY","KANSAS CITY","MO","Private 4 Year","1383602","338"
"542900","ROLLA TECHNICAL INSTITUTE","ROLLA","MO","Public 2 Year","463660","102"
"2530600","SAINT CHARLES COMMUNITY COLLEGE","COTTLEVILLE","MO","Public 2 Year","6372319","2059"
"250600","SAINT LOUIS UNIVERSITY","ST LOUIS","MO","Private 4 Year","6600464","1709"
"978200","SAINT LUKE'S COLLEGE OF HEALTH SCIENCES","KANSAS CITY","MO","Private 4 Year","608602","158"
"2214500","SALEM COLLEGE OF HAIRSTYLING","SALEM","MO","Proprietary 2 Year","214503","56"
"543800","SALINE COUNTY CAREER CENTER","MARSHALL","MO","Public 2 Year","85664","18"
"4170600","SALON PROFESSIONAL ACADEMY (THE)","ST. CHARLES","MO","Proprietary 2 Year","223495","58"
"4179000","SALON PROFESSIONAL ACADEMY, THE","BRANSON","MO","Proprietary 2 Year","31230","10"
"2205200","SANFORD-BROWN COLLEGE","FENTON","MO","Proprietary 4 Year","28232","12"
"3070900","SE MO HOSP CLG NURSING & HEALTH SCI","CAPE GIRARDEAU","MO","Private 2 Year","481636","141"
"4184400","SEYMOUR BEAUTY ACADEMY","SEYMOUR","MO","Proprietary 2 Year","129144","32"
"542600","SIKESTON CAREER AND TECHNOLOGY CTR","SIKESTON","MO","Public 2 Year","158376","30"
"4174000","SKIN INSTITUTE","SAINT LOUIS","MO","Proprietary 2 Year","148575","41"
"542400","SOUTH CENTRAL CAREER CENTER","WEST PLAINS","MO","Public 2 Year","400216","86"
"250100","SOUTHEAST MISSOURI STATE UNIV","CAPE GIRARDEAU","MO","Public 4 Year","15073434","3872"
"250200","SOUTHWEST BAPTIST UNIVERSITY","BOLIVAR","MO","Private 4 Year","4991998","1324"
"3068600","SPECIAL SCHOOL DISTRICT OF ST. LOUIS CO.","SUNSET HILLS","MO","Public 2 Year","807057","198"
"1258000","ST LOUIS CHRISTIAN COLLEGE","FLORISSANT","MO","Private 4 Year","477871","125"
"2340500","ST LOUIS COLLEGE OF HEALTH CAREERS","ST LOUIS","MO","Proprietary 4 Year","2866261","791"
"250400","ST LOUIS COLLEGE OF PHARMACY","ST LOUIS","MO","Private 4 Year","751349","173"
"247100","ST LOUIS COMMUNITY COLLEGE","ST LOUIS","MO","Public 2 Year","33633463","10910"
"3097600","ST LOUIS HAIR ACADEMY","ST LOUIS","MO","Proprietary 2 Year","70987","21"
"808000","STATE FAIR COMMUNITY COLLEGE","SEDALIA","MO","Public 2 Year","10891404","3288"
"471100","STATE TECHNICAL COLLEGE OF MISSOURI","LINN","MO","Public 2 Year","2290072","582"
"251200","STEPHENS COLLEGE","COLUMBIA","MO","Private 4 Year","1219699","294"
"855200","STEVENS INSTITUTE OF BUSINESS & ARTS","ST LOUIS","MO","Proprietary 4 Year","515860","131"
"3579300","TEXAS COUNTY TECHNICAL INSTITUTE","HOUSTON","MO","Private 2 Year","641259","161"
"4145700","THE SYSTEM A PAUL MITCHELL PARTNER SCHL","SPRINGFIELD","MO","Proprietary 2 Year","398071","104"
"471300","THREE RIVERS COMMUNITY COLLEGE","POPLAR BLUFF","MO","Public 2 Year","10550720","2928"
"4145200","TRANSFORMED BARBER AND COSMETOLOGY ACADE","KANSAS CITY","MO","Proprietary 2 Year","348365","100"
"4133300","TREND SETTERS SCHOOL OF COSMETOLOGY","CAPE GIRARDEAU","MO","Proprietary 2 Year","259620","59"
"249500","TRUMAN STATE UNIVERSITY","KIRKSVILLE","MO","Public 4 Year","4839258","1222"
"245400","UNIVERSITY OF CENTRAL MISSOURI","WARRENSBURG","MO","Public 4 Year","16011709","3917"
"251600","UNIVERSITY OF MISSOURI - COLUMBIA","COLUMBIA","MO","Public 4 Year","23502244","5926"
"251800","UNIVERSITY OF MISSOURI-KANSAS CITY","KANSAS CITY","MO","Public 4 Year","13977517","3462"
"251900","UNIVERSITY OF MISSOURI-ST LOUIS","ST LOUIS","MO","Public 4 Year","16334095","4376"
"2599700","VATTEROTT COLLEGE","BERKELEY","MO","Proprietary 4 Year","26224845","7068"
"1102600","WARRENSBURG AREA VOC TECH SCH","WARRENSBURG","MO","Public 2 Year","134379","32"
"252000","WASHINGTON UNIVERSITY","ST LOUIS","MO","Private 4 Year","2226922","570"
"528900","WAYNESVILLE CAREER CENTER","WAYNESVILLE","MO","Public 2 Year","170057","36"
"252100","WEBSTER UNIVERSITY","ST LOUIS","MO","Private 4 Year","5427352","1434"
"3970400","WELLSPRING SCHOOL OF ALLIED HEALTH","KANSAS CITY","MO","Proprietary 2 Year","442377","146"
"252200","WENTWORTH MILITARY ACADEMY","LEXINGTON","MO","Private 2 Year","970514","233"
"252300","WESTMINSTER COLLEGE","FULTON","MO","Private 4 Year","1227445","292"
"252400","WILLIAM JEWELL COLLEGE","LIBERTY","MO","Private 4 Year","1175230","281"
"252500","WILLIAM WOODS UNIVERSITY","FULTON","MO","Private 4 Year","1406617","373"
"3033000","NORTHERN MARIANAS COLLEGE","SAIPAN","MP","Public 4 Year","4203383","1018"
"3464300","ACADEMY OF HAIR DESIGN","MOSS POINT","MS","Proprietary 2 Year","72176","24"
"2244300","ACADEMY OF HAIR DESIGN #1","JACKSON","MS","Proprietary 2 Year","607258","156"
"2235900","ACADEMY OF HAIR DESIGN #4","PEARL","MS","Proprietary 2 Year","212882","59"
"2251600","ACADEMY OF HAIR DESIGN #6","HATTIESBURG","MS","Proprietary 2 Year","479181","123"
"239600","ALCORN STATE UNIVERSITY","ALCORN STATE","MS","Public 4 Year","11381098","2535"
"239700","BELHAVEN UNIVERSITY","JACKSON","MS","Private 4 Year","6784214","1709"
"239800","BLUE MOUNTAIN COLLEGE","BLUE MOUNTAIN","MS","Private 4 Year","1140123","279"
"2074900","CHRIS' BEAUTY COLLEGE","GULFPORT","MS","Proprietary 2 Year","297081","83"
"240100","COAHOMA COMMUNITY COLLEGE","CLARKSDALE","MS","Public 2 Year","9024667","2219"
"240200","COPIAH-LINCOLN COMMUNITY COLLEGE","WESSON","MS","Public 2 Year","8343744","2047"
"4131300","CORINTH ACADEMY OF COSMETOLOGY","CORNITH","MS","Proprietary 2 Year","509001","131"
"2502100","CREATIONS COLLEGE OF COSMETOLOGY","TUPELO","MS","Proprietary 2 Year","76949","24"
"3848300","DAY SPA CAREER COLLEGE","OCEAN SPRING","MS","Proprietary 2 Year","155833","45"
"2249900","DELTA BEAUTY COLLEGE","GREENVILLE","MS","Proprietary 2 Year","194159","50"
"240300","DELTA STATE UNIVERSITY","CLEVELAND","MS","Public 4 Year","5696100","1294"
"240400","EAST CENTRAL COMMUNITY COLLEGE","DECATUR","MS","Public 2 Year","6565678","1616"
"240500","EAST MISSISSIPPI COMM COLLEGE","SCOOBA","MS","Public 2 Year","12272395","3048"
"2251700","FOSTER'S COSMETOLOGY COLLEGE","RIPLEY","MS","Proprietary 2 Year","148865","40"
"3963300","HEALING TOUCH CAREER COLLEGE","HATTIESBURG","MS","Proprietary 2 Year","466877","126"
"240700","HINDS COMMUNITY COLLEGE","RAYMOND","MS","Public 2 Year","31457678","8134"
"240800","HOLMES COMMUNITY COLLEGE","GOODMAN","MS","Public 2 Year","14814942","4029"
"240900","ITAWAMBA COMMUNITY COLLEGE","FULTON","MS","Public 2 Year","13002928","3301"
"2586000","J & J HAIR DESIGN COLLEGE","CARTHAGE","MS","Proprietary 2 Year","394965","96"
"241000","JACKSON STATE UNIVERSITY","JACKSON","MS","Public 4 Year","23361015","5208"
"241100","JONES COUNTY JUNIOR COLLEGE","ELLISVILLE","MS","Public 2 Year","8939479","2251"
"3032400","KC'S SCHOOL OF HAIR DESIGN","PONTOTOC","MS","Proprietary 2 Year","388303","95"
"2320800","MAGNOLIA COLLEGE OF COSMETOLOGY","JACKSON","MS","Proprietary 2 Year","537340","140"
"241300","MERIDIAN COMMUNITY COLLEGE","MERIDIAN","MS","Public 2 Year","6910508","1816"
"241400","MILLSAPS COLLEGE","JACKSON","MS","Private 4 Year","688267","164"
"241500","MISSISSIPPI COLLEGE","CLINTON","MS","Private 4 Year","4413556","1065"
"2302800","MISSISSIPPI COLLEGE OF BEAUTY CULT","LAUREL","MS","Proprietary 2 Year","206746","52"
"241600","MISSISSIPPI DELTA CMTY COLLEGE","MOORHEAD","MS","Public 2 Year","9188506","2136"
"241700","MISSISSIPPI GULF CST CLG","PERKINSTON","MS","Public 2 Year","25403579","6448"
"4140200","MISSISSIPPI INSTITUTE OF AESTHETICS, NAI","CLINTON","MS","Proprietary 2 Year","199312","54"
"242300","MISSISSIPPI STATE UNIVERSITY","MISSISSIPPI STATE","MS","Public 4 Year","24348941","5666"
"242200","MISSISSIPPI UNIV FOR WOMEN","COLUMBUS","MS","Public 4 Year","5410885","1305"
"242400","MISSISSIPPI VALLEY STATE UNIVERSITY","ITTA BENA","MS","Public 4 Year","7817640","1717"
"242600","NORTHEAST MS CMNTY COLLEGE","BOONEVILLE","MS","Public 2 Year","9651914","2348"
"242700","NORTHWEST MISSISSIPPI COMMUNITY CLG","SENATOBIA","MS","Public 2 Year","20381295","5013"
"243000","PEARL RIVER COMMUNITY COLLEGE","POPLARVILLE","MS","Public 2 Year","11431669","2856"
"243300","RUST COLLEGE","HOLLY SPRINGS","MS","Private 4 Year","4028310","905"
"243500","SOUTHEASTERN BAPTIST COLLEGE","LAUREL","MS","Private 4 Year","161249","46"
"243600","SOUTHWEST MISSISSIPPI CMNTY CLG","SUMMIT","MS","Public 2 Year","5369871","1341"
"243900","TOUGALOO COLLEGE","TOUGALOO","MS","Private 4 Year","3829127","794"
"3263300","TRAXLER'S SCHOOL OF HAIR","JACKSON","MS","Proprietary 2 Year","139352","33"
"244000","UNIVERSITY OF MISSISSIPPI","UNIVERSITY","MS","Public 4 Year","21610853","4862"
"244001","UNIVERSITY OF MISSISSIPPI - MED CTR","JACKSON","MS","Public 4 Year","664842","195"
"244100","UNIVERSITY OF SOUTHERN MISSISSIPPI","HATTIESBURG","MS","Public 4 Year","26811179","6309"
"244700","WILLIAM CAREY UNIVERSITY","HATTIESBURG","MS","Private 4 Year","5308565","1374"
"2621300","ACADEMY OF COSMETOLOGY","BOZEMAN","MT","Proprietary 2 Year","83231","21"
"4163700","BITTERROOT SCHOOL OF COSMETOLOGY","HAMILTON","MT","Proprietary 2 Year","159358","35"
"2510600","BLACKFEET COMMUNITY COLLEGE","BROWNING","MT","Private 2 Year","1719219","439"
"3763400","BOLD BEAUTY ACADEMY","BILLINGS","MT","Proprietary 2 Year","413849","113"
"790000","BUTTE ACADEMY OF BEAUTY CULTURE","BUTTE","MT","Proprietary 2 Year","162462","41"
"252600","CARROLL COLLEGE","HELENA","MT","Private 4 Year","1280015","312"
"2545200","CHIEF DULL KNIFE COLLEGE","LAME DEER","MT","Public 2 Year","503680","135"
"4187700","CREVIER'S SCHOOL OF COSMETOLOGY","KALISPELL","MT","Proprietary 2 Year","424886","101"
"252900","DAWSON COMMUNITY COLLEGE","GLENDIVE","MT","Public 2 Year","413658","109"
"677700","FLATHEAD VALLEY COMMUNITY COLLEGE","KALISPELL","MT","Public 2 Year","3116618","919"
"2517500","FORT BELKNAP COLLEGE","HARLEM","MT","Public 2 Year","510544","132"
"2343000","FT PECK COMMUNITY COLLEGE","POPLAR","MT","Public 2 Year","524521","131"
"931400","GREAT FALLS COLLEGE MONTANA STATE UNIVER","GREAT FALLS","MT","Public 2 Year","4094992","1194"
"3778300","HEALTH WORKS INSTITUTE","BOZEMAN","MT","Proprietary 2 Year","180121","56"
"757000","HELENA COLLEGE OF TECHNOLOGY","HELENA","MT","Public 2 Year","2572449","733"
"2286600","LITTLE BIG HORN COLLEGE","CROW AGENCY","MT","Public 2 Year","665868","158"
"252800","MILES COMMUNITY COLLEGE","MILES CITY","MT","Public 2 Year","617280","183"
"3205300","MODERN BEAUTY SCHOOL","MISSOULA","MT","Proprietary 2 Year","207820","48"
"4164100","MONTANA ACADEMY OF SALON","GREAT FALLS","MT","Proprietary 2 Year","329931","76"
"253000","MONTANA STATE UNIVERSITY - BILLINGS","BILLINGS","MT","Public 4 Year","6215798","1721"
"253200","MONTANA STATE UNIVERSITY - BOZEMAN","BOZEMAN","MT","Public 4 Year","14179122","3762"
"253300","MONTANA STATE UNIVERSITY-NORTHERN","HAVRE","MT","Public 4 Year","2370880","593"
"253100","MONTANA TECH OF THE UNIV OF MONTANA","BUTTE","MT","Public 4 Year","4080086","984"
"253400","ROCKY MOUNTAIN COLLEGE","BILLINGS","MT","Private 4 Year","1342248","315"
"2143400","SALISH KOOTENAI COLLEGE","PABLO","MT","Public 4 Year","2568820","618"
"2610900","STONE CHILD COLLEGE","BOX ELDER","MT","Public 2 Year","789489","208"
"252700","UNIVERSITY OF GREAT FALLS","GREAT FALLS","MT","Private 4 Year","1403773","362"
"253600","UNIVERSITY OF MONTANA (THE)","MISSOULA","MT","Public 4 Year","18163437","4624"
"253700","UNIVERSITY OF MONTANA WESTERN (THE)","DILLON","MT","Public 4 Year","2260993","586"
"546300","ALAMANCE COMMUNITY COLLEGE","GRAHAM","NC","Public 2 Year","8474576","2596"
"4219100","ALEXANDER PAUL INSTITUTE OF HAIR DESIGN","GREENVILLE","NC","Proprietary 2 Year","45300","13"
"3513400","APEX SCHOOL OF THEOLOGY","DURHAM","NC","Private 4 Year","3356542","739"
"290600","APPALACHIAN STATE UNIVERSITY","BOONE","NC","Public 4 Year","19008999","4771"
"403300","ASHEVILLE BUNCOMBE TECH CMTY CLG","ASHEVILLE","NC","Public 2 Year","10906629","3223"
"4140700","AVEDA INSTITUTE CHAPEL HILL","CHAPEL HILL","NC","Proprietary 2 Year","436976","120"
"290800","BARTON COLLEGE","WILSON","NC","Private 4 Year","2184418","516"
"855800","BEAUFORT COUNTY COMMUNITY COLLEGE","WASHINGTON","NC","Public 2 Year","4188236","1155"
"291000","BELMONT ABBEY COLLEGE","BELMONT","NC","Private 4 Year","2901305","698"
"291100","BENNETT COLLEGE","GREENSBORO","NC","Private 4 Year","2116159","462"
"4228400","BEYOND MEASURE BARBERING INSTITUTE","MEBANE","NC","Proprietary 2 Year","198681","49"
"798700","BLADEN COMMUNITY COLLEGE","DUBLIN","NC","Public 2 Year","3694232","1071"
"968400","BLUE RIDGE COMMUNITY COLLEGE","FLAT ROCK","NC","Public 2 Year","3686464","1108"
"4172800","BODY THERAPY INSTITUTE","SILER CITY","NC","Proprietary 2 Year","67566","31"
"291200","BREVARD COLLEGE","BREVARD","NC","Private 4 Year","1332265","321"
"781400","BROOKSTONE COLLEGE OF BUSINESS","CHARLOTTE","NC","Proprietary 2 Year","598882","241"
"2170700","BRUNSWICK COMMUNITY COLLEGE","BOLIVA","NC","Public 2 Year","2793299","819"
"647700","CABARRUS COLLEGE OF HEALTH SCIENCES","CONCORD","NC","Private 4 Year","628716","192"
"483500","CALDWELL COMMUNITY CLG & TECH INST","HUDSON","NC","Public 2 Year","6549362","1921"
"291300","CAMPBELL UNIVERSITY","BUIES CREEK","NC","Private 4 Year","7431398","1888"
"532000","CAPE FEAR COMMUNITY COLLEGE","WILMINGTON","NC","Public 2 Year","16529415","4826"
"3570300","CAROLINA CHRISTIAN COLLEGE","WINSTON-SALEM","NC","Private 4 Year","89004","25"
"4154200","CAROLINA COLLEGE OF BIBLICAL STUDIES","FAYETTEVILLE","NC","Private 4 Year","309108","86"
"4178100","CAROLINA COLLEGE OF HAIR DESIGN","ASHEVILLE","NC","Proprietary 2 Year","212871","52"
"4101300","CAROLINA SCHOOL OF BROADCASTING","CHARLOTTE","NC","Proprietary 2 Year","112183","40"
"3104200","CAROLINAS COLLEGE OF HEALTH SCIENCE","CHARLOTTE","NC","Public 2 Year","279442","133"
"808100","CARTERET COMMUNITY COLLEGE","MOREHEAD CITY","NC","Public 2 Year","3227621","983"
"291400","CATAWBA COLLEGE","SALISBURY","NC","Private 4 Year","2391221","593"
"531800","CATAWBA VALLEY COMMUNITY COLLEGE","HICKORY","NC","Public 2 Year","8161099","2492"
"4129400","CENTER FOR MASSAGE & NATURAL HEALTH","WEAVERVILLE","NC","Proprietary 2 Year","79093","25"
"544900","CENTRAL CAROLINA COMMUNITY COLLEGE","SANFORD","NC","Public 2 Year","9167561","2641"
"291500","CENTRAL PIEDMONT COMMUNITY COLLEGE","CHARLOTTE","NC","Public 2 Year","35410439","11389"
"3827300","CHARLOTTE CHRISTIAN COLLEGE AND THEOLOGI","CHARLOTTE","NC","Private 4 Year","253679","76"
"2558900","CHEVEUX SCHOOL OF HAIR DESIGN","JACKSONVILLE","NC","Proprietary 2 Year","5730","2"
"291600","CHOWAN UNIVERSITY","MURFREESBORO","NC","Private 4 Year","4982803","1083"
"808200","CLEVELAND COMMUNITY COLLEGE","SHELBY","NC","Public 2 Year","6141442","1844"
"531600","COASTAL CAROLINA COMMUNITY COLLEGE","JACKSONVILLE","NC","Public 2 Year","9484319","2820"
"291700","COLLEGE OF THE ALBEMARLE","ELIZABETH CITY","NC","Public 2 Year","3644548","1080"
"2205000","COLLEGE OF WILMINGTON","WILMINGTON","NC","Proprietary 2 Year","975348","276"
"679900","CRAVEN COMMUNITY COLLEGE","NEW BERN","NC","Public 2 Year","6254117","1925"
"291800","DAVIDSON COLLEGE","DAVIDSON","NC","Private 4 Year","1082328","258"
"291900","DAVIDSON COUNTY COMMUNITY COLLEGE","LEXINGTON","NC","Public 2 Year","9191003","2810"
"292000","DUKE UNIVERSITY","DURHAM","NC","Private 4 Year","3896630","924"
"3748500","DURHAM BEAUTY ACADEMY","DURHAM","NC","Proprietary 2 Year","543130","148"
"544800","DURHAM TECHNICAL CMNTY COLLEGE","DURHAM","NC","Public 2 Year","8669502","2881"
"292300","EAST CAROLINA UNIVERSITY","GREENVILLE","NC","Public 4 Year","33527725","7971"
"885500","EDGECOMBE COMMUNITY COLLEGE","TARBORO","NC","Public 2 Year","7434177","2073"
"292600","ELIZABETH CITY STATE UNIVERSITY","ELIZABETH CITY","NC","Public 4 Year","6178634","1347"
"292700","ELON UNIVERSITY","ELON","NC","Private 4 Year","1984197","490"
"2210400","FAYETTEVILLE BEAUTY COLLEGE","FAYETTEVILLE","NC","Proprietary 2 Year","368812","96"
"292800","FAYETTEVILLE STATE UNIVERSITY","FAYETTEVILLE","NC","Public 4 Year","14909042","3433"
"764000","FAYETTEVILLE TECHNICAL CMTY COLLEGE","FAYETTEVILLE","NC","Public 2 Year","28121017","7946"
"531700","FORSYTH TECHNICAL COMMUNITY COLLEGE","WINSTON-SALEM","NC","Public 2 Year","17292576","5271"
"292900","GARDNER-WEBB UNIVERSITY","BOILING SPRINGS","NC","Private 4 Year","5141331","1321"
"297300","GASTON COLLEGE","DALLAS","NC","Public 2 Year","10895811","3366"
"4214600","GRACE COLLEGE OF BARBERING","AYDEN","NC","Private 2 Year","97662","27"
"4173700","GRACE COLLEGE OF DIVINITY","FAYETTEVILLE","NC","Private 4 Year","201772","53"
"293000","GREENSBORO COLLEGE","GREENSBORO","NC","Private 4 Year","1696285","394"
"293100","GUILFORD COLLEGE","GREENSBORO","NC","Private 4 Year","3598327","935"
"483800","GUILFORD TECHNICAL COMMUNITY CLG","JAMESTOWN","NC","Public 2 Year","30858122","8887"
"798600","HALIFAX COMMUNITY COLLEGE","WELDON","NC","Public 2 Year","3073435","895"
"808300","HAYWOOD COMMUNITY COLLEGE","CLYDE","NC","Public 2 Year","3749922","1136"
"4120300","HEALTH AND STYLE INSTITUTE","HIGH POINT","NC","Proprietary 2 Year","1064760","348"
"3089300","HERITAGE BIBLE COLLEGE","DUNN","NC","Private 4 Year","216055","59"
"293300","HIGH POINT UNIVERSITY","HIGH POINT","NC","Private 4 Year","1856582","454"
"293400","ISOTHERMAL COMMUNITY COLLEGE","SPINDALE","NC","Public 2 Year","3931201","1155"
"768700","JAMES SPRUNT COMMUNITY COLLEGE","KENANSVILLE","NC","Public 2 Year","2751887","735"
"293600","JOHNSON C SMITH UNIVERSITY","CHARLOTTE","NC","Private 4 Year","4929872","1090"
"933600","JOHNSTON COMMUNITY COLLEGE","SMITHFIELD","NC","Public 2 Year","6884095","2025"
"293700","KING'S COLLEGE-CHARLOTTE","CHARLOTTE","NC","Proprietary 2 Year","1647586","389"
"293500","LAUREL UNIVERSITY","HIGH POINT","NC","Private 4 Year","400978","105"
"293900","LEES MCRAE COLLEGE","BANNER ELK","NC","Private 4 Year","1897779","465"
"294000","LENOIR COMMUNITY COLLEGE","KINSTON","NC","Public 2 Year","6479689","1848"
"294100","LENOIR-RHYNE UNIVERSITY","HICKORY","NC","Private 4 Year","2826517","648"
"1192600","LEON'S BEAUTY SCHOOL","GREENSBORO","NC","Proprietary 2 Year","507863","122"
"3109000","LIVING ARTS COLLEGE","RALEIGH","NC","Proprietary 4 Year","1459869","475"
"294200","LIVINGSTONE COLLEGE","SALISBURY","NC","Private 4 Year","5871092","1244"
"294300","LOUISBURG COLLEGE","LOUISBURG","NC","Private 2 Year","2498313","575"
"294400","MARS HILL COLLEGE","MARS HILL","NC","Private 4 Year","3616457","864"
"798800","MARTIN COMMUNITY COLLEGE","WILLIAMSTON","NC","Public 2 Year","1192521","326"
"1119700","MAYLAND COMMUNITY COLLEGE","SPRUCE PINE","NC","Public 2 Year","1857392","571"
"808500","MCDOWELL TECHNICAL COMMUNITY CLG","MARION","NC","Public 2 Year","1919589","566"
"3361300","MEDICAL ARTS MASSAGE SCHOOL","RALEIGH","NC","Proprietary 2 Year","681066","222"
"647800","MERCY HOSP SCH OF NURSING","CHARLOTTE","NC","Public 2 Year","58420","22"
"294500","MEREDITH COLLEGE","RALEIGH","NC","Private 4 Year","2321743","548"
"294600","METHODIST UNIVERSITY","FAYETTEVILLE","NC","Private 4 Year","3865320","961"
"2280900","MID-ATLANTIC CHRISTIAN UNIVERSITY","ELIZABETH CITY","NC","Private 4 Year","546693","139"
"294700","MITCHELL COMMUNITY COLLEGE","STATESVILLE","NC","Public 2 Year","5185284","1585"
"2056500","MITCHELL'S HAIR STYLING ACADEMY","WILSON","NC","Proprietary 2 Year","313346","83"
"2227800","MITCHELL'S HAIR STYLING ACADEMY","GOLDSBORO","NC","Proprietary 2 Year","98959","25"
"808700","MONTGOMERY COMMUNITY COLLEGE","TROY","NC","Public 2 Year","1329943","391"
"294800","MONTREAT COLLEGE","MONTREAT","NC","Private 4 Year","1457191","369"
"4206500","MYCOMPUTERCAREER.COM","RALEIGH","NC","Proprietary 2 Year","330990","135"
"855700","NASH COMMUNITY COLLEGE","ROCKY MOUNT","NC","Public 2 Year","7666549","2276"
"290500","NORTH CAROLINA A&T STATE UNIV","GREENSBORO","NC","Public 4 Year","26520047","5930"
"295000","NORTH CAROLINA CENTRAL UNIVERSITY","DURHAM","NC","Public 4 Year","18834681","4167"
"297200","NORTH CAROLINA STATE UNIV-RALEIGH","RALEIGH","NC","Public 4 Year","22394019","5524"
"295100","NORTH CAROLINA WESLEYAN COLLEGE","ROCKY MOUNT","NC","Private 4 Year","5535783","1351"
"703100","PAMLICO COMMUNITY COLLEGE","GRANTSBORO","NC","Public 2 Year","762631","213"
"4149300","PARK WEST BARBER SCHOOL","DURHAM","NC","Proprietary 2 Year","2240437","599"
"1179900","PAUL MITCHELL THE SCHOOL FAYETTEVILLE","FAYETTEVILLE","NC","Proprietary 2 Year","2229198","589"
"3777300","PAUL MITCHELL THE SCHOOL GASTONIA","GASTONIA","NC","Proprietary 2 Year","1349297","353"
"4204700","PAUL MITCHELL THE SCHOOL RALEIGH","RALEIGH","NC","Proprietary 2 Year","450338","116"
"295500","PFEIFFER UNIVERSITY","MISENHEIMER","NC","Private 4 Year","1693160","410"
"964600","PIEDMONT COMMUNITY COLLEGE","ROXBORO","NC","Public 2 Year","2961389","858"
"295600","PIEDMONT INTERNATIONAL UNIVERSITY","WINSTON SALEM","NC","Private 4 Year","462525","126"
"2560600","PINNACLE INSTITUTE OF COSMETOLOGY","MOORESVILLE","NC","Proprietary 2 Year","219864","57"
"406200","PITT COMMUNITY COLLEGE","WINTERVILLE","NC","Public 2 Year","22675766","5818"
"295700","QUEENS UNIVERSITY OF CHARLOTTE","CHARLOTTE","NC","Private 4 Year","2163330","578"
"544700","RANDOLPH COMMUNITY COLLEGE","ASHEBORO","NC","Public 2 Year","5882744","1717"
"3064400","REGENCY BEAUTY INSTITUTE","WINSTON-SALEM","NC","Proprietary 2 Year","672543","179"
"4115700","REGINA'S COLLEGE OF BEAUTY","MONROE","NC","Proprietary 2 Year","624114","194"
"546400","RICHMOND COMMUNITY COLLEGE","HAMLET","NC","Public 2 Year","6435541","1820"
"861300","ROANOKE-CHOWAN COMMUNITY COLLEGE","AHOSKIE","NC","Public 2 Year","2200048","617"
"861200","ROBESON COMMUNITY COLLEGE","LUMBERTON","NC","Public 2 Year","5743242","1710"
"295800","ROCKINGHAM COMMUNITY COLLEGE","WENTWORTH","NC","Public 2 Year","3298810","1016"
"575400","ROWAN-CABARRUS COMMUNITY COLLEGE","SALISBURY","NC","Public 2 Year","15683715","4474"
"296000","SALEM COLLEGE","WINSTON-SALEM","NC","Private 4 Year","2494391","587"
"789200","SAMPSON COMMUNITY COLLEGE","CLINTON","NC","Public 2 Year","2835159","780"
"296100","SANDHILLS COMMUNITY COLLEGE","PINEHURST","NC","Public 2 Year","6711852","2039"
"296200","SHAW UNIVERSITY","RALEIGH","NC","Private 4 Year","6466289","1449"
"4227600","SHERRILL'S UNIVERSITY OF BARBER & COSMET","RALEIGH","NC","Proprietary 2 Year","331577","90"
"1026400","SOUTH COLLEGE","ASHEVILLE","NC","Proprietary 4 Year","1335282","366"
"798500","SOUTH PIEDMONT COMMUNITY COLLEGE","POLKTON","NC","Public 2 Year","3250249","1139"
"1303918","SOUTH UNIVERSITY - THE ART INSTITUTE OF","CHARLOTTE","NC","Proprietary 4 Year","3690659","990"
"296400","SOUTHEASTERN COMMUNITY COLLEGE","WHITEVILLE","NC","Public 2 Year","2951599","860"
"3555300","SOUTHEASTERN INSTITUTE","CHARLOTTE","NC","Proprietary 2 Year","1347766","389"
"846600","SOUTHWESTERN COMMUNITY COLLEGE","SYLVA","NC","Public 2 Year","4599381","1308"
"296800","ST AUGUSTINES COLLEGE","RALEIGH","NC","Private 4 Year","3891832","835"
"1119400","STANLY COMMUNITY COLLEGE","ALBEMARLE","NC","Public 2 Year","5105189","1601"
"297000","SURRY COMMUNITY COLLEGE","DOBSON","NC","Public 2 Year","5116674","1504"
"943000","TRI-COUNTY COMMUNITY COLLEGE","MURPHY","NC","Public 2 Year","2786661","768"
